[Req(id=0, init_node=9, out_node=1, max_Lat=746, min_T=14.4, func=Function(name_func='Deep Packet Inspection', name_imp='DPI2', clb=19007, bram=36, dsp=0), price=373), 3, 15]
[Req(id=36, init_node=37, out_node=25, max_Lat=795, min_T=14.4, func=Function(name_func='Deep Packet Inspection', name_imp='DPI2', clb=19007, bram=36, dsp=0), price=422), 1, 57]
[Req(id=38, init_node=39, out_node=30, max_Lat=858, min_T=14.4, func=Function(name_func='Deep Packet Inspection', name_imp='DPI2', clb=19007, bram=36, dsp=0), price=394), 1, 62]
[Req(id=39, init_node=19, out_node=3, max_Lat=754, min_T=49.38, func=Function(name_func='Advanced Encryption Standard', name_imp='AES0', clb=3165, bram=1, dsp=0), price=57), 2, 30]
[Req(id=44, init_node=10, out_node=25, max_Lat=583, min_T=49.38, func=Function(name_func='Advanced Encryption Standard', name_imp='AES0', clb=3165, bram=1, dsp=0), price=58), 3, 17]
[Req(id=45, init_node=24, out_node=14, max_Lat=930, min_T=40, func=Function(name_func='Deep Packet Inspection', name_imp='DPI4', clb=1391, bram=96, dsp=0), price=49), 2, 3]
[Req(id=46, init_node=5, out_node=25, max_Lat=679, min_T=49.38, func=Function(name_func='Advanced Encryption Standard', name_imp='AES0', clb=3165, bram=1, dsp=0), price=58), 1, 6]
[Req(id=47, init_node=3, out_node=16, max_Lat=1099, min_T=0.8, func=Function(name_func='Deep Packet Inspection', name_imp='DPI0', clb=10471, bram=37, dsp=0), price=230), 2, 58]
[Req(id=50, init_node=33, out_node=27, max_Lat=874, min_T=40, func=Function(name_func='Deep Packet Inspection', name_imp='DPI4', clb=1391, bram=96, dsp=0), price=50), 1, 62]
[Req(id=54, init_node=0, out_node=21, max_Lat=318, min_T=92.16, func=Function(name_func='Firewall', name_imp='FW2', clb=12691, bram=241, dsp=0), price=283), 3, 0]
[Req(id=55, init_node=13, out_node=24, max_Lat=542, min_T=92.16, func=Function(name_func='Firewall', name_imp='FW2', clb=12691, bram=241, dsp=0), price=309), 3, 22]
[Req(id=56, init_node=37, out_node=12, max_Lat=1014, min_T=14.4, func=Function(name_func='Deep Packet Inspection', name_imp='DPI2', clb=19007, bram=36, dsp=0), price=393), 2, 58]
[Req(id=57, init_node=15, out_node=16, max_Lat=1319, min_T=40, func=Function(name_func='Deep Packet Inspection', name_imp='DPI4', clb=1391, bram=96, dsp=0), price=46), 2, 23]
[Req(id=58, init_node=6, out_node=30, max_Lat=527, min_T=49.38, func=Function(name_func='Advanced Encryption Standard', name_imp='AES0', clb=3165, bram=1, dsp=0), price=61), 3, 7]
[Req(id=59, init_node=13, out_node=2, max_Lat=859, min_T=40, func=Function(name_func='Deep Packet Inspection', name_imp='DPI4', clb=1391, bram=96, dsp=0), price=47), 3, 22]
[Req(id=61, init_node=6, out_node=3, max_Lat=657, min_T=40, func=Function(name_func='Deep Packet Inspection', name_imp='DPI4', clb=1391, bram=96, dsp=0), price=49), 3, 7]
[Req(id=62, init_node=34, out_node=7, max_Lat=231, min_T=49.38, func=Function(name_func='Advanced Encryption Standard', name_imp='AES0', clb=3165, bram=1, dsp=0), price=69), 1, 52]
[Req(id=63, init_node=3, out_node=9, max_Lat=534, min_T=14.4, func=Function(name_func='Deep Packet Inspection', name_imp='DPI2', clb=19007, bram=36, dsp=0), price=360), 3, 33]
[Req(id=64, init_node=9, out_node=17, max_Lat=223, min_T=0.8, func=Function(name_func='Deep Packet Inspection', name_imp='DPI0', clb=10471, bram=37, dsp=0), price=221), 3, 15]
